kanji, yomi, level
鯨, くじら, 1
鯵, あじ, 1
鮎, あゆ、なまず, 1
鰯, いわし, 1
鰻, うなぎ, 1
鰍, いなだ、かじか、どじょう, 1
鰹, かつお, 1
鯉, こい, 1
鮭, さけ, 1
鯖, さば, 1
鮫, さめ, 1
鯛, たい, 1
鱈, たら, 1
鰭, はた、ひれ, 1
鮒, ふな, 2
鮪, まぐろ, 1
鱒, ます, 1
鱗, うろこ, 1
鰐, わに, 1
魴, おしきうお、かがみだい, 3
鮓, すし, 2
鮃, ひらめ, 1
鮑, あわび, 1
鮖, かじか, 2
鮗, このしろ, 2
鮠, はえ、はや, 2
鮨, すし, 1
鮴, ごり、めばる, 2
鮹, たこ, 1
鯆, いるか, 2
鯏, あさり、うぐい, 2
鯑, かずのこ, 2
鯒, こち, 2
鯣, するめ, 2
鯢, さんしょううお、めくじら, 2
鯔, いな、ぼら, 2
鯡, にしん、はらご、はららご, 2
鯲, どじょう, 2
鯱, しゃち、しゃちほこ, 1
鯰, なまず, 1
鰕, えび, 1
鰔, かれい, 2
鰉, ひがい, 3
鰓, あぎと、えら, 2
鰌, どじょう, 2
鰆, さわら, 1
鰈, かれい, 1
鰒, あわび、ふぐ, 1
鰊, にしん, 1
鰄, かいらぎ、さめ, 2
鰛, いわし, 2
鰥, やもお、やもめ, 3
鰤, ぶり, 1
鰡, ぼら, 3
鰰, はたはた, 2
鱆, たこ, 2
鰾, うきぶくろ、ふえ, 3
鱚, きす, 2
鱠, なます, 2
鱧, はも, 2
鱶, ふか, 2
鱸, すずき, 2
魛, えつ, 3
魞, えり, 3
魣, かます, 3
魦, いさざ、さめ, 3
魬, はまち, 3
魲, すずき, 3
魳, かます, 3
魸, なまず, 3
魹, とど, 3
鮇, いわな, 3
鮉, たい, 3
鮏, さけ, 3
鮐, ふぐ, 3
鮞, はららご, 3
鮱, おおぼら, 3
鮲, こち、まて, 3
鮸, にべ, 3
鯁, のぎ, 3
鰩, えい, 3
鯋, はぜ, 3
鯎, うぐい, 3
鯐, すばしり, 3
鯥, むつ, 3
鯧, まながつお, 3
鯯, このしろ、さっぱ, 3
鯳, すけとうだら, 3
鯷, しこ、ひしこ, 3
鯹, さけ, 3
鰋, なまず, 3
鰖, たかべ, 3
鰘, むろあじ, 3
鰙, はえ、はや、わかさぎ, 2
鰚, はらか, 3
鰣, えそ、はす、ひら, 3
鰶, このしろ, 3
鱊, いさざ, 3
鱏, えい, 2
鱓, うつぼ、ごまめ, 3
鱛, えそ, 3
鱝, えい, 3
鱩, はたはた, 3
鱪, しいら, 3
鱫, むつ, 3
鱭, えつ, 3
鱮, たなご, 3
鱰, しいら, 3
鱲, からすみ, 3
鱵, さより, 3
鱷, わに, 3
䱇, うつぼ、ごまめ, 3
䱈, すし, 3
䱽, まながつお, 3
𩶗, いさざ, 3